glacier_type,aspect_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
0,0,36149,0.542734894431192,0.057893464344849224,6.696052238145927e-05,36992,0.5200406173802367,0.10672454843415687,6.312286014346375e-05,35355,1.276841633902791,0.3036159783652108,0.00039931978074597024
0,1,101487,0.5370727515240739,0.05524543011432174,3.698870997329063e-05,103015,0.5133655684844801,0.10071638072439067,3.289421791814939e-05,99956,1.2460507826500242,0.28905333629563135,0.00021841715678153195
0,2,9845,0.5376628329035009,0.059660035322921356,7.915421331575592e-05,10009,0.54262705850021,0.10751712067459952,6.628297247513232e-05,9711,1.26367084351151,0.3140180880739427,0.0004723836861455141
0,3,4645,0.5389212984035613,0.062283761909472365,0.00013080336119201353,4755,0.5332308439094307,0.11195952004700019,0.00011059357670495319,4515,1.2806205789784306,0.33083416060818116,0.0007990984553481971
1,0,13143,0.5350847257805855,0.06209772334379164,0.00012885204718658677,13683,0.5028118209288295,0.1025724625327464,0.00011169452969798311,12377,1.2650515305968513,0.33836299520487284,0.000713508168169201
1,1,27086,0.5276269458755378,0.06122363986533081,8.801329417581336e-05,27980,0.4879121059072984,0.1003063611823409,6.978104995797092e-05,25991,1.2374007345273808,0.33376610832668946,0.00047964994432649484
1,2,5062,0.5333917960435298,0.059146603032208804,0.00012556295473198457,5168,0.5265120177152619,0.10688542742866015,0.00010759088066743305,4976,1.2623000682348622,0.31155987914668026,0.0007012690885130659
1,3,2369,0.532666160980724,0.06337205591819546,0.00020148455365418295,2446,0.5204663742591734,0.10992339129948087,0.00018615572938426462,2305,1.2638117223246634,0.3223512967278291,0.0011782822052046847
2,0,967,0.5973051010113479,0.055611323876808685,0.0009096747496179256,1186,0.5401838567850241,0.10857963800732191,0.0007674115378196311,790,1.575443773232528,0.3113394301141409,0.0066053023103398705
2,1,1404,0.5931675599143534,0.059016049814377344,0.0007439814081323387,1721,0.5253682252502114,0.1158803614731937,0.0006388742744249208,1096,1.5470188775584108,0.3381879200124922,0.005607482058585658
2,2,163,0.5769955791592237,0.056064180176677705,0.0006650863784645909,164,0.5267768657452562,0.09750857507737762,0.00047957057967007384,89,1.5683141273138719,0.30439480170579764,0.004939983457620424
2,3,114,0.5683219113083505,0.05182220455552684,0.0009167289842171282,117,0.5361740126716724,0.0946005546549536,0.0009585740390883282,78,1.6205723538940167,0.3108788923804947,0.008452021324617282
3,0,982,0.5786127995073653,0.0632290045743614,0.0006637846589250905,1192,0.5540984441735295,0.11871520022425654,0.0005688579660723717,755,1.5160979853610894,0.35378536787217935,0.0046948680532119536
3,1,1058,0.5792395877520923,0.062410387612036315,0.0006618321982340302,1224,0.5397608709621963,0.11806899791218924,0.0005908021087827645,778,1.507876664180174,0.35052084456872595,0.00498318655628291
3,2,166,0.5584871558136125,0.06743627467363128,0.0007382626909265627,184,0.5078169833084212,0.10114970180584111,0.0009038539462755264,115,1.4925601894669085,0.3610311676012016,0.0054844618795274165
3,3,147,0.556907545585393,0.06698288606322514,0.0008179991886948628,151,0.5198592856437451,0.09863523530243379,0.0005814783263742675,108,1.5080223700401254,0.3428692925888424,0.007451728687689528
4,0,87,0.6045425719644649,0.06639701759926543,0.002176643750115043,136,0.41807919033099045,0.12459539176458935,0.0018901969265150125,9,1.5692763547883255,0.29332173648917137,0.048450278132679214
4,1,235,0.5894378103890592,0.07021633610794786,0.0011451705323173957,315,0.4473110034803847,0.12610987675540886,0.0011652271875213195,41,1.7533507421773662,0.38572184915276353,0.00804751766832032
4,2,185,0.5773605710157086,0.07181164764148902,0.001968623119849547,196,0.37785648039897357,0.11906383745733654,0.0014447845557436973,36,1.6833171132772198,0.30530658693281765,0.030597556924976517
4,3,293,0.5819819711971368,0.07309183140610416,0.001605035349118299,333,0.39414477463321096,0.12434409024068396,0.0012877384610269057,53,1.702990623435502,0.3010188478376619,0.021185952969829704
5,0,140,0.6072257292292592,0.05922601559017491,0.0017547839908518788,188,0.4504350567687235,0.12156541065348603,0.001497636533960745,17,1.9302843507272112,0.18861166260037954,0.025784168453729446
5,1,209,0.5976148942244405,0.05602521131878232,0.0015469381552352844,285,0.4506084550248125,0.12353748550094833,0.0012891318539375413,22,1.8703017857235844,0.2368691717104443,0.037704219010323316
5,3,3,0.5511411380083795,0.049226468183013905,0.0034629507244109217,4,0.3974917565740068,0.10978612339381542,0.00962655386026309,1,2.14872489250306,,0.0
6,1,70,0.6237949350866197,0.055866226785798064,0.002599074778236784,155,0.5052510130162565,0.16116980217493998,0.0021484133034621934,8,1.8713697581844255,0.21608786195736718,0.0
6,2,94,0.604139203056165,0.0654985819248136,0.003736725422935332,104,0.43630253450394785,0.12342317045954941,0.0025014877332225744,8,1.786319672747362,0.34626021596009215,0.14916636511648598
6,3,137,0.5993615727622537,0.07154324733478787,0.002629906106600344,147,0.3991648898014793,0.13064120635532991,0.0019652007913876033,17,1.9175069851334698,0.31130586034892904,0.052134584146329946
7,0,37,0.6139510277359567,0.05826199470158053,0.0028577161857268538,83,0.5151624545309383,0.15310143328130502,0.0029296574910338,2,2.070250609793419,0.11906896160591925,0.0
7,1,42,0.6275311037616058,0.0540397319191787,0.0033144834698889958,106,0.49247150574394605,0.1502537198082761,0.002637849552736591,5,1.9109811484508064,0.1301312712491156,0.07990311622542769
7,2,9,0.6080417820068275,0.06537474729935401,0.00568948425673617,17,0.4696130036840919,0.07255972294491475,0.002742483263977586,3,1.9571901776243141,0.1118822438640941,0.12112850289253714
7,3,14,0.6078911790994166,0.0827316520976228,0.0036071144143628607,22,0.46403393071644755,0.08356408763763576,0.002088151228641506,3,1.5737739564452558,0.42261303238632614,0.0
