glacier_type,slope_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
0,0,40213,0.5383746711451146,0.058600032866956565,6.614402115826334e-05,41059,0.5080818497819043,0.11270326203216938,5.3535776475905676e-05,39068,1.2540651763214399,0.31109070862902183,0.00036969556205295676
0,1,52286,0.5332130909164071,0.0541626126910233,4.578247011957434e-05,53041,0.512287213907127,0.10028144212940238,4.128234463113275e-05,51659,1.2315629003506487,0.2842789455592921,0.00026744986381187496
0,2,59627,0.5432533203300955,0.056528644800437,4.779591597111772e-05,60671,0.5283381626120098,0.0981066529524837,4.66928549272066e-05,58810,1.2775271432560227,0.2938138574589099,0.00029963712924076794
1,0,21677,0.5340933989493374,0.06219996053097391,0.00010435239656790646,22443,0.49779417595630787,0.1062987165571847,8.13423429573324e-05,20254,1.2712500348756015,0.343994820083591,0.0005599718493305975
1,1,16062,0.5274044253519848,0.06039908973111684,0.00010091204354151395,16581,0.49514124243665975,0.10098228174357858,8.381761056137591e-05,15691,1.2366321099577635,0.3248956609469657,0.0005722309951719745
1,2,9921,0.5278827663366967,0.061084860053758926,0.00012090823330651381,10253,0.501696878593204,0.09861465373451114,0.00011541121051363588,9704,1.2223025351479502,0.316257554534939,0.0006812486876198038
2,0,1834,0.589721393932998,0.058052044581609015,0.0005785357056826562,2170,0.550395263089101,0.11327087067255726,0.0005098350052358119,1415,1.5479767421144668,0.33048960560942214,0.0043907295675516475
2,1,543,0.5956257228000466,0.05664088525253248,0.0012383969912433165,701,0.4983828918509033,0.09774182247003352,0.0010661263152712285,429,1.5713633656648012,0.31652804226789577,0.009480951292818805
2,2,271,0.6061492993958952,0.055422180264803216,0.002053099933943588,317,0.47386879235529267,0.09248164206575782,0.001649790800513729,209,1.6345258259818805,0.30408148750665714,0.0154932424839246
3,0,1748,0.5811009569317445,0.061693068206642165,0.00046951950270393604,2065,0.565073624995804,0.11296788479177745,0.0004223721774455995,1243,1.5376074584017523,0.34222788350787536,0.0034789385022514206
3,1,385,0.5627037251478084,0.0665896219408851,0.0010255867347108614,430,0.49663515839245803,0.10081266871087848,0.0009122233066444173,322,1.451389957605775,0.37130885575296285,0.0073428537896251065
3,2,220,0.5600096505702871,0.0690801116636984,0.0015426849609610754,256,0.44007646425171004,0.09479362251269781,0.0012566825408762109,191,1.4329802318868494,0.35864434689164143,0.010919991604757675
4,0,557,0.5902491866913917,0.0731013239965486,0.0010780553770868132,722,0.4004421692954318,0.1254886513371526,0.000865878418585093,92,1.6598366795464354,0.3390580344737614,0.016431500173616182
4,1,129,0.5860723533805011,0.06482781812797864,0.0017971304859656695,142,0.44945875977598604,0.13531630903865574,0.0015364503566026322,21,1.8627531722552462,0.23220028060800807,0.019649689959352398
4,2,114,0.5620472090159182,0.0670730651809919,0.001917078406886368,116,0.43215022390432906,0.11194163777971985,0.001401997064995708,26,1.7325382925690864,0.32390660508434127,0.021676595542257062
5,0,273,0.6048690841911132,0.053635937285155644,0.0012558576887433,386,0.4439267231691694,0.12380928470209594,0.0010840111682428929,31,1.9111486928348973,0.2189580802855767,0.02352513672252831
5,1,60,0.5992966482238826,0.06383858654984233,0.003127542704563643,74,0.486820077072715,0.10956238146559533,0.0021569388627010865,8,1.8915365020339026,0.2309811962571513,0.04839377754560095
5,2,22,0.5644755630272588,0.07276675695472895,0.005130352807625756,23,0.4329765383003067,0.11183058539520326,0.005374529952979768,1,1.732296646631476,,0.44548712763295106
6,0,285,0.6057479001604396,0.06544666968625973,0.0017602897905719765,435,0.45103996131143437,0.15198208481000985,0.0012625422175362511,27,1.8884243227855029,0.25628129513803655,0.04334723133783724
6,1,30,0.618446172721499,0.067835873487047,0.0037750731745199192,41,0.45796341895655396,0.12972479125639277,0.003625066832413718,4,1.6520982194124239,0.5037870367124608,0.11114134814059257
6,2,19,0.6158786906578426,0.06126278277860537,0.010950259699654035,19,0.3930183717651596,0.08094980199187854,0.00655968745324265,2,2.1316423009325076,0.07761197852903222,0.4006645659344652
7,0,93,0.6180407077533057,0.06076935456338613,0.002032546677155963,218,0.4998673774398039,0.14307590861081945,0.0016735292004577621,12,1.8716698757642123,0.27585092940815137,0.045004762670824434
7,2,3,0.5771003155214012,0.07802171021974186,0.0,3,0.45496572072625313,0.11453848702933431,0.0,1,1.828260854879032,,0.0
