glacier_type,temperature_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
0,0,19669,0.5662849709246902,0.06024825854035728,0.00015597008687751206,20642,0.517401907560092,0.11058540822817983,0.00014274132242602522,18275,1.4059079991523251,0.3299580422703944,0.0010076383740534062
0,1,48452,0.5413564411397177,0.0547304921456474,5.61144286242259e-05,49090,0.5149353777073963,0.10195363656297209,4.9120041906559166e-05,47676,1.2589098112062544,0.28627165294494916,0.0003298280285604551
0,2,84005,0.5303701526637346,0.054242117314963284,2.417329090105002e-05,85039,0.5189380822841858,0.10218139355899976,2.0889387670259263e-05,83586,1.2207037617429801,0.282672633027402,0.00013303369746439487
1,0,5915,0.5633957678494156,0.06558673724539224,0.0003119682997924352,6504,0.5083845887000966,0.11747574983908206,0.00026191139624431257,4992,1.444660023180082,0.3484983260052477,0.002045006679710254
1,1,12177,0.5277944033984581,0.061184341682215836,0.00014333434015982002,12579,0.4791989875935456,0.09787547711184524,0.0001110512496373995,11673,1.2255456295237934,0.3352531465499587,0.0007693616898427842
1,2,29568,0.5251081911810883,0.05861924937391817,5.589489821536478e-05,30194,0.5031281810360057,0.10074596097368774,4.457230778827239e-05,28984,1.2246611742908913,0.31685853938544895,0.000284688568511234
2,0,1211,0.606192434495963,0.05714088824646239,0.0008944079794145733,1597,0.5484790408001405,0.11555177217588544,0.0007436127182056257,883,1.6538592382308002,0.319521987144464,0.007099020877524477
2,1,832,0.5898651855767834,0.0535794186462323,0.0009024977967895622,963,0.5098175723632313,0.10703996985693598,0.0007495803709722546,703,1.511358854419266,0.30248371859628165,0.006480714517602013
2,2,605,0.5692122173807209,0.05635368294065926,0.0006413736384138655,628,0.5208044345921083,0.10180353313013138,0.0005623250389280206,467,1.463115395241633,0.32714612213954253,0.005057516477156486
3,0,1118,0.5931703545100493,0.05998873858184606,0.0007202462788551288,1387,0.568759095023418,0.11843208185419572,0.0006097552987709231,774,1.634090941984927,0.31760498354349165,0.005707773029562293
3,1,509,0.5753711368585308,0.05961958917322402,0.0008573726429919024,597,0.5169792535069232,0.12016117350081484,0.0007902788255621958,389,1.4473967944485622,0.34721026615475237,0.0064159215642185605
3,2,726,0.550384524822082,0.06362817783157139,0.000448078821317423,767,0.5157552143838544,0.10022463615376989,0.0003693193802968207,593,1.390335782961217,0.34548265573330333,0.0028688939511212538
4,0,121,0.6108723474738962,0.06841392578401287,0.0025264211821673147,232,0.41053443633968467,0.13441745684937348,0.0018636105238120397,24,1.626606587550545,0.316096741696126,0.02878236435118149
4,1,203,0.5866813149103527,0.06687959686969025,0.0014515221067489617,241,0.41030478305372087,0.1238154201694239,0.0012144959017133933,28,1.6260228761091806,0.4060480900706277,0.009467622626247299
4,2,476,0.5786421248526501,0.07293868456093747,0.001115239011966247,507,0.41211908115510926,0.12467610007888905,0.0008648807898039728,87,1.750592966783429,0.2980535517536094,0.017147999472456463
5,0,63,0.6241908198652222,0.04678930044986972,0.0034883734932508355,123,0.48586999696049116,0.13728994815614146,0.0025487770721115436,10,1.8965811026395574,0.19333923941300413,0.0593227872760026
5,1,138,0.6035091444883746,0.057770783804747955,0.001953550221224794,184,0.41989716953520356,0.11594033283613474,0.0016511349807521994,5,1.9113869453195496,0.2241285822741704,0.0699725809938774
5,2,154,0.5902418030733887,0.05842174437664585,0.0013701399772670932,176,0.45633961594869016,0.10909247656254012,0.0009029870562340891,25,1.9034980955116478,0.2332621751742835,0.025483137021366578
6,0,43,0.6387834764682611,0.04644068006511327,0.003904170486144653,129,0.5138904203197574,0.16576534242260257,0.002777225916963544,5,1.9263758587200104,0.19633439537045075,0.0
6,1,78,0.6122590331920517,0.058995543804679064,0.0029389124208329498,139,0.4168179448306994,0.13849461266787122,0.0021311405443923265,2,1.6339606386796584,0.06999495880419426,0.0
6,2,213,0.599386562313399,0.06891364677855694,0.002237157453114692,227,0.4326725720639417,0.13251653354677673,0.0015459217954633734,26,1.8830512932216892,0.31750758625567577,0.05717130107439128
7,0,29,0.635474046245564,0.04690297538122471,0.004656456517514365,89,0.5294173191885679,0.15283227102200186,0.0031867606201529956,4,1.971247320889053,0.16973004803759664,0.08077945945953702
7,1,29,0.6107235433039694,0.07053146334239212,0.0033001167036664477,64,0.4487589017966175,0.15355506788773793,0.0033958132745186527,2,1.870906204381054,0.06030963163790028,0.0
7,2,44,0.611718564380333,0.06077651207178278,0.0020751571810765836,75,0.4975189300073533,0.10437859458035602,0.0015731082846332262,7,1.8087853816758943,0.3370233072401656,0.061818792194514825
