glacier_type,area_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
0,0,61356,0.5338340998695563,0.05955239236972823,3.0039425857827556e-05,62322,0.5381149324394234,0.10668081137309614,2.8683520330959143e-05,61220,1.2076179726337044,0.2947870090663047,0.0001673833333303816
0,1,58668,0.5355160615726927,0.05199422800403691,4.5953496090508495e-05,59168,0.5095896673864502,0.09839709712851265,4.299985566794018e-05,58189,1.2441382982471993,0.2710863588113875,0.0002700219487368084
0,2,32102,0.5529320516414281,0.05583409527238831,9.978757846829544e-05,33281,0.4927905768295768,0.09781857715079871,8.489637509730219e-05,30128,1.3748327718828068,0.3111972350901152,0.0006281361248721024
1,0,6725,0.5227322526901399,0.06359137488088977,0.0001128830432146586,6902,0.5188738530245218,0.1101613225149608,0.0001023537789645443,6767,1.157438480480329,0.3109766413905358,0.0005606430655013493
1,1,13033,0.5156444915940799,0.05499602331059417,9.03926161693629e-05,13209,0.5044755604051085,0.10352107318063895,8.080762087988566e-05,13106,1.1497048843100952,0.2762297554790003,0.00044441640447670673
1,2,27902,0.5393903073459931,0.06217990154435576,9.629289000490976e-05,29166,0.4896435821531738,0.10001550025489833,7.686618871890376e-05,25776,1.3234286946622793,0.34453476795653826,0.000554980848621958
2,2,2648,0.5926133927831688,0.05770899314203167,0.0005188377190347846,3188,0.5313489759308219,0.11177237873145932,0.0004497775912626905,2053,1.5616745599573225,0.32591975804260587,0.003945995183281506
3,2,2353,0.5761187972902928,0.06377680268261454,0.00041306578528916123,2751,0.542744357896594,0.11698307435607302,0.0003667778588001548,1756,1.510417347057418,0.35191329348939826,0.0030476469989101918
4,0,86,0.5701091471163927,0.08050540691348486,0.0012220313573404295,113,0.44414711733849144,0.1452082097888252,0.0016480896648986135,42,1.5726288971240363,0.32040231562523863,0.02033250744778814
4,1,126,0.5785669055728696,0.07058449653162874,0.001949687810550797,142,0.4115870991338136,0.13000308843150113,0.001575740704999918,29,1.7927987220557555,0.2640219077724258,0.01718748206161636
4,2,588,0.5893141082428796,0.07009506687733263,0.0010630084591134444,725,0.40612113621536955,0.12232253965787218,0.0008504100646332422,68,1.7474589724059122,0.337898603141357,0.019705030289318273
5,1,10,0.5635126776832392,0.0621564451406837,0.008364204518304597,11,0.39293244025207064,0.12181278483483683,0.007721782130059848,2,1.6717369588243551,0.08564433182991094,0.22274356381647553
5,2,345,0.6025228825720991,0.0570118456880645,0.0011539805834872349,472,0.45130636522206474,0.12181568036234118,0.0009676996813805858,38,1.9149137953456787,0.21587665279888213,0.02172819856003783
6,2,334,0.6074647660175726,0.06537616697178114,0.0016610651537985654,495,0.4493863281034963,0.14840883681721428,0.00117667175434557,33,1.874519218021918,0.29635493272573105,0.04504405539194464
7,2,102,0.6181896757810894,0.06067635841875655,0.0018532043232892604,228,0.4962834687426209,0.14219115272592267,0.0016503967100375987,13,1.8683307203115063,0.26438142922587154,0.04154285784999179
