glacier_type,precipitation_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
0,0,51950,0.5529598299911707,0.05738286525269628,7.60948786546922e-05,53335,0.5194600569541667,0.10460604630286542,6.851709579802066e-05,50094,1.3150039864570913,0.3075013389507176,0.000469628603037352
0,1,51582,0.5310439163826863,0.0550905647690605,3.810874304447441e-05,52421,0.5071381635153263,0.1020503216782405,3.416058697807469e-05,51238,1.2128162257311381,0.28384167798462423,0.00021023160157060142
0,2,48594,0.5309963285764357,0.05381784226392293,2.4658138208307988e-05,49015,0.5263342168640003,0.10219421305106532,2.130632315133329e-05,48205,1.2390915880309779,0.2859749546290467,0.00013207185801674597
1,0,11270,0.5462357564065669,0.06602526567123915,0.00019803663055766548,12029,0.49310350910653755,0.11118986908951599,0.00016362811861755886,10193,1.3253635210880232,0.3592670989508053,0.001200738364464349
1,1,16072,0.5212987999363531,0.06018373587691736,0.00010350642752545462,16570,0.4834247193351533,0.09698687535524064,8.203496941276207e-05,15753,1.190567463843837,0.3190850360511427,0.0005167974222292388
1,2,20318,0.5291586832648716,0.058041989215335224,5.8942064409331695e-05,20678,0.5118454404497419,0.10084955017822414,4.6950105902744896e-05,19703,1.2560867287423856,0.31933322421885024,0.0003082341162030049
2,0,2054,0.5989490224514799,0.05625500674527546,0.0006493166828188143,2566,0.533461080906007,0.1136761137570759,0.0005455099723801296,1607,1.5848978153254463,0.32158028229233193,0.004899358496195043
2,1,292,0.5695182076608255,0.05970211890239503,0.0010264093268121117,313,0.5026742266960874,0.1072846509402004,0.0009140444893780956,239,1.40026380312549,0.3254152024941679,0.007070018016865461
2,2,302,0.5718531633693066,0.055069334554081334,0.0004561762421176088,309,0.5428555621578346,0.09481636010537928,0.0003938700245117656,207,1.5677489537072395,0.30833252955777235,0.004279408756857857
3,0,1414,0.5892523468392155,0.06023424878253312,0.0006196206159855068,1740,0.5612589431985585,0.11861503240473786,0.0005324989581823421,1005,1.5819645146596402,0.33364341036119477,0.0048109543884697886
3,1,397,0.5624377460899194,0.06387071180679058,0.0009045823699894281,434,0.49589435039205587,0.11685368412775647,0.0007757136021557547,327,1.39459643801161,0.35949055661209894,0.005924710320390903
3,2,542,0.5518762479625651,0.0635939380384063,0.00040456258504038443,577,0.522150813410548,0.09736706570035893,0.000372764414195792,424,1.4301544551181393,0.3478692606832933,0.002897773870841469
4,0,163,0.6044029788297343,0.06950513956408882,0.0019913296305843725,286,0.42318177841599525,0.13558532731946604,0.001594431346086834,31,1.6332488004491144,0.3366776534922362,0.022283120788011476
4,1,256,0.5860640935518797,0.06845779416469405,0.0014941027148855945,284,0.40683913290182644,0.11918486104357542,0.0012363517273922234,46,1.7110995475611128,0.3433394178806643,0.012156258593887892
4,2,381,0.5771533304526946,0.0730938904976973,0.0012039919836774112,410,0.4060963749300015,0.1251171533192378,0.0008916607449327401,62,1.7343144313015277,0.31291252454139507,0.022714335165821057
5,0,83,0.6224675364399244,0.050701340619564016,0.0029972568500535326,158,0.4731977755962233,0.13942192948520388,0.0022496565306775423,11,1.9185951851415843,0.19741548434605036,0.05392980661454782
5,1,134,0.5964566004444248,0.061234323415879366,0.001956349429395996,166,0.41098894314715584,0.10606701624673022,0.0015983112763570846,8,1.8038107355178679,0.1758590247546264,0.05316765101922904
5,2,138,0.5935908063778254,0.05468276204647298,0.0013534911722568516,159,0.4676065919556994,0.10905639830561664,0.0008692675826091087,21,1.9321507247659113,0.23859514089401643,0.02806527171872985
6,0,91,0.6166015006910684,0.055006859745672924,0.0024640547595920323,231,0.4804904805394023,0.160850292926417,0.0018407422203669183,7,1.8428286529941957,0.21650267365950177,0.0
6,1,161,0.6066409039752118,0.071418736584243,0.002569402708684225,169,0.4376666418614673,0.13502579795908562,0.0020136735468921866,18,1.8350695291791312,0.3621711570279823,0.07568694572476013
6,2,82,0.5989428017923526,0.06296928644684371,0.003584487558098935,95,0.3946028308635872,0.11916855872907334,0.0021734916669298573,8,1.991010262317444,0.14915953981255833,0.07432051854992401
7,0,50,0.6212250688317464,0.06295139712883276,0.002998881753064188,128,0.5017897569803855,0.1581125557562229,0.002456775039877644,5,1.9426500276870489,0.16029735742531948,0.06462356756762962
7,1,6,0.6347153101951707,0.049753885960529855,0.011259153864973137,23,0.4607281121568187,0.15963936831358266,0.007363419331412552,1,1.913551553883076,,0.0
7,2,46,0.6127348179763648,0.059966169760581806,0.002025854803344641,77,0.49775058961326474,0.10392469457536516,0.001537880001861475,7,1.8087853816758943,0.3370233072401656,0.061818792194514825
